CountryName,CountryCode,IndicatorName,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,AUS,GDP per capita,17362.3771306073,17815.7947370697,18210.8006376604,19164.9049784648,20088.1173707488,20981.0293792794,22048.0166395581,22990.7070882274,24216.7334319332,25268.5198066101,26373.9696831642,27398.6820277778,28685.30613792,29693.4185072851,31310.5019545347,32559.4592872484,34322.9183318446,36563.4682249116,37479.2891201982,40257.1686174765,39168.256719609,41763.118511715,42596.2941186879,45476.9765882814,45937.3000394504,45514.1758297674
Austria,AUT,GDP per capita,19490.937244881,20625.8813298224,21301.9629722492,21743.6361793698,22652.459881176,23705.5420437344,24573.1818278842,25532.1517484631,26728.585924931,27752.7177491225,29566.2476733511,29856.6036414545,31261.5516292637,32202.4455590608,33800.7021063805,34691.2089614866,37626.1441765716,39234.3228786562,41151.585043147,40620.3921570465,41892.7758492156,44022.3952746168,45858.2468363681,47416.2846696348,47706.4882473346,47824.1877781361
Azerbaijan,AZE,GDP per capita,5502.4339886415,5558.8184131486,4334.4336641029,3361.0354966205,2719.3402271871,2420.444864397,2471.5858792704,2634.1586308859,2901.3516722254,3136.0938931052,3534.3291476622,3942.0848821949,4393.9671993184,4945.9079163722,5551.4488418302,7169.1504310386,9830.1626057387,12477.3846859443,13799.7861400733,14900.5086642522,15627.6056198817,15754.1523626148,16180.8871503048,17174.3108809494,17584.6853479395,17739.9547360618
Bahrain,BHR,GDP per capita,22879.1475071466,25588.1656752509,27222.9214920946,30697.4635995408,30505.9226668937,31529.0220445954,32494.6222197845,33048.3315999724,33861.905764483,34579.9931808618,35792.0454915789,36005.75473597,36288.4674115159,37374.8955736848,38724.4906070407,39770.7608248512,40220.9427436057,40979.8715755273,40843.8460598766,39343.225490129,39423.6512887923,39676.7170222452,40992.5567832413,43400.0224635821,45666.4894524738,46946.3351892261
Bangladesh,BGD,GDP per capita,834.0482083145,871.0798765671,918.4548687378,963.3034791127,1000.2837630656,1050.6544995387,1094.5676934567,1138.9342986541,1185.9877167733,1235.1475151912,1304.4423579303,1375.759113568,1424.3122333107,1495.5292207013,1591.4043893167,1724.4277076008,1871.000135463,2031.7785215099,2171.6297284589,2273.1642014109,2401.7187397781,2579.3350480883,2764.7819283063,2942.8100447725,3134.1542517551,3332.8034451699
Barbados,BRB,GDP per capita,8593.9440157293,8499.5967865971,8174.7553560732,8402.7206685168,8720.6355164317,9053.4915103939,9555.7509308257,10135.9305514593,10585.9697074394,10742.9438469115,11443.5765222148,11386.8297453506,11622.6418159499,12073.3902181049,12540.4731724113,13421.014347625,14563.9996966157,15144.5807081617,15444.6915253636,14872.8644796034,15036.3625304529,15401.5496498863,15673.1733129577,15876.6183024017,16116.487565159,16390.8649228605
Belarus,BLR,GDP per capita,5224.6999193671,5331.2053253523,4918.6553852467,4642.5191157388,4191.496263944,3846.3210479235,4039.674255655,4596.6725799186,5060.8804413819,5331.0326633027,5785.8742496416,6245.4251142097,6703.775792119,7369.8284739857,8497.6212668747,9662.054244091,11022.0864043037,12345.1055924865,13917.7567546983,14082.5382840594,15385.4592726836,16603.3895298874,17218.3561003897,17683.1643017413,18250.5632168413,17660.9465857183
Belgium,BEL,GDP per capita,19052.8751883483,19973.5706049598,20657.5787667951,20864.0066172883,21927.9381764186,22871.1590015667,23272.6243087044,24303.3899025989,24831.8389928821,25922.8249628198,28278.2982894566,29198.0206374408,30767.2997489343,31052.3778339369,31975.6041802021,33042.8992844792,35071.3754851982,36579.6181999703,37846.9555911544,37629.442841568,39257.834474162,40858.7251704577,41930.6618333441,43057.2035921556,43409.2408923283,43991.6228948018
Belize,BLZ,GDP per capita,3335.51370147,3737.0870960386,4211.9285307169,4506.4060329917,4516.712738599,4522.1292445501,4523.7608571611,4593.7339772685,4635.708792197,4932.8070830202,5511.7503674238,5741.870778995,5959.8395363116,6474.6523695991,6786.5793260294,7003.0550915496,7354.9176819218,7438.3723255519,7630.7003122623,7558.5215006534,7716.0572369195,7855.6744230991,8114.4437091069,8173.2975565162,8461.9578852334,8526.9275109776
Benin,BEN,GDP per capita,941.0716488,978.0410579408,992.4465664107,1036.023936594,1041.3259498096,1089.8547872442,1122.000573665,1171.5594892613,1196.3545319816,1242.7166762816,1305.034602491,1361.7284916555,1400.0497562939,1428.7927793988,1483.3577427679,1507.8911605998,1565.5569102142,1651.8086653232,1714.2802089263,1716.2072678172,1723.7969258527,1761.5743306309,1826.8089351102,1931.9295135788,2037.5862051881,2109.8459573727
Bermuda,BMU,GDP per capita,26210.9109007466,26261.1259418547,27038.8767248633,28362.5661275732,28938.4392651508,30621.6915800819,31787.7790998267,33613.3724699575,35044.9513449448,36579.5634273514,40535.2082576999,43976.0925063775,43706.034736478,45797.3203552513,47835.4392260251,49877.2841082861,53949.4237061828,56640.9889952538,58288.6120944144,55320.1617108278,55254.2141192067,54984.5103947777,53097.6962878821,52443.841660786,,
Bhutan,BTN,GDP per capita,1507.862148692,1554.0966662951,1683.4131243444,1788.9958891559,1945.5270460518,2136.9882474701,2281.4966753756,2405.1591077783,2514.2840878146,2681.7702292252,2850.8159913676,3064.827798501,3344.1598823382,3564.7232246684,3770.0946853367,4060.2016746867,4365.9359055514,5172.7269539139,5418.2020257257,5717.1657367165,6354.3939344745,6882.6884070006,7251.4331916598,7418.5453546113,7844.2203270505,8076.9568758837
Bolivia,BOL,GDP per capita,2396.1142679416,2555.4688524346,2604.909301396,2726.4105400157,2857.4122620628,2993.8101580277,3119.2815449903,3264.9449626298,3399.2531152458,3399.7357579641,3497.2794751103,3570.0554999433,3647.5720882822,3753.0508490101,3946.7090164339,4180.3200677921,4438.6193910538,4684.9280288041,4986.8488455767,5108.8468943723,5298.0829096676,5598.566772507,5899.7813026268,6304.2040960602,6654.0388464694,6880.9033586191
Bosnia and Herzegovina,BIH,GDP per capita,,,,,913.0143160952,1158.7154935982,2269.6038647532,3128.0024968417,3658.558859433,4062.0086634941,4373.1250885612,4661.1453065161,4972.2789891407,5261.8980956006,5723.554246771,6412.5498856036,7330.4094334517,8025.0232066942,8796.2807533345,8686.598414356,8941.5227081761,9422.2761082148,9705.0139790188,10115.5404037591,10426.9172783872,10509.651420006
Botswana,BWA,GDP per capita,5234.8214627702,5647.6256844359,5780.599236526,5871.1198520903,6057.0437128003,6462.0903826281,6810.1354893748,7328.0016720489,7317.558436685,8003.4665703762,8212.6722963499,8296.8873627591,8814.8328444176,9283.0204038627,9661.2904452408,10268.5146696177,11277.6238718177,12310.679963763,13082.0020763527,11934.0608860359,12854.1648943944,13634.267890571,14211.0075286066,15548.2635462402,15990.9437659118,15807.0857198278
Brazil,BRA,GDP per capita,6622.2188414206,6831.4597037772,6844.359245053,7221.0222964559,7649.4294506239,8028.8987430626,8227.1424565163,8518.5395344644,8507.2329796135,8545.7982369753,8963.3899125854,9182.1087774511,9468.3470117252,9629.9484865733,10324.8192692568,10860.3980171765,11501.9843192753,12389.5670435652,13140.7622644577,13093.9972215199,14114.5185441419,14827.1467182835,15246.2607662872,15816.8004000261,15951.2212185795,15359.3262966752
British Virgin Islands,VGB,GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,GDP per capita,49815.0432739985,51601.0937284707,53739.0446128096,53660.5533600288,55010.7715397549,57164.3300861012,58410.4211021922,57157.0987562936,56162.4561155671,57503.0971934472,59253.6774328849,61062.5821681824,63217.4299732546,65178.528947622,66146.0732050526,67366.8338129998,71257.3316101172,72032.3893242433,70824.0844446763,68962.8552142326,70486.3330607909,73265.1216346752,74195.021192084,73005.5554563149,71444.8987808606,70817.0185097872
