CountryName,CountryCode,IndicatorName,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ecuador,ECU,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,12.5,,,,,,6.1999998093,,,,,,,,6.4000000954,,
Egypt  Arab Rep.,EGY,Prevalence of underweight,,,,,,,,,,,,,13.8999996185,,,,,,,,,,11.6000003815,,,10.5,,8.1999998093,,10.8000001907,,10.1999998093,9.3999996185,,4.3000001907,,,8.6999998093,,5.4000000954,,,6.8000001907,,,,,,7
El Salvador,SLV,Prevalence of underweight,,,,,,,,,,19.5,,,,,,,,,,,,,11.1000003815,,,,,7.1999998093,,,,,9.6000003815,,,,,6.0999999046,,,,,6.5999999046,,,,,,
Equatorial Guinea,GNQ,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8000001907,,,15.6999998093,,,,10.6000003815,,,,,,5.5999999046,,,,
Eritrea,ERI,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9000015259,,38.2999992371,,,,,,,34.5,,,,,,,,38.7999992371,,,,
Estonia,EST,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2999992371,,,,,,,,42,,,,,34.5999984741,,,,,,29.2000007629,,,25.2000007629
Faroe Islands,FRO,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9000000954,,,,,,,,,,,5.3000001907,,,,,,,,,,
Finland,FIN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8000001907,,,,,,,,,,,,6.5,,
Georgia,GEO,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7000000477,,,,,,2.2999999523,,,,1.1000000238,,,,,
Germany,DEU,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1000000238,,,,,,,,,
Ghana,GHA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,24.1000003815,,,,,25.1000003815,,,,,,20.2999992371,,,,18.7999992371,,,13.8999996185,,14.3000001907,,,13.3999996185,,,11
Gibraltar,GIB,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,27.7999992371,,,,,,,,21.7000007629,,,,20.2999992371,19.6000003815,,17.7000007629,,,,,,,13,,,,,
Guinea,GIN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2000007629,,,,,21.2000007629,29.1000003815,,,,,22.5,,20.7999992371,,,,,16.2999992371,,
Guinea-Bissau,GNB,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8999996185,,,,,,17.3999996185,,16.6000003815,,18.1000003815,,,,17
Guyana,GUY,Prevalence of underweight,,,,,,22,,,,,,,,,,19.5,,,,,,,,,,,,16.1000003815,,,,10.3000001907,,,11.8999996185,,,,,,10.8000001907,,,11.1000003815,,,,,8.5
Haiti,HTI,Prevalence of underweight,,,,,,,,,,,,,33.5,,,,,,,,,,,,23.7000007629,,,,24,,,,,,13.8999996185,,,,,,18.8999996185,,,,,,11.6000003815,,
Honduras,HND,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,18.1000003815,,,,,15.8000001907,,16.1000003815,,19.2000007629,,,,,12.5,,,,,8.6000003815,,,,,,7.0999999046,,
Hong Kong SAR China,HKG,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,2.2999999523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Prevalence of underweight,,,,,,,,,,,,67.3000030518,,,,,,,,,,,,59.5,,,50.7000007629,,,,,41.0999984741,,44.4000015259,,,,,,40.2999992371,43.5,,,,,,,,
Indonesia,IDN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,35.9000015259,,31,,,29.7999992371,,,27.3999996185,,,25.7999992371,22.7999992371,24.7999992371,23.3999996185,23,23.1000003815,19.7000007629,24.3999996185,,19.6000003815,,,18.6000003815,,,19.8999996185,
Iran Islamic Rep.,IRN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8000001907,,,9.5,,,,,,4.5999999046,,,,,,,,,,
Iraq,IRQ,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,10.3999996185,,,,,,,,,12.8999996185,,,10.1000003815,8,,7.0999999046,,,,,8.5,,,
Ireland,IRL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
